PROVEIDOR,IMPORT
"L ESCENARI DE BARCELONA, S.L.",46410.76
CONSTRUCCIONES Y REHABILITACIONES VICENÇ SL,144546.38
"ZAFRA I PELLICER FUSTERS, SL",71585.79
UTE T ESPAÑA T MOVILES CXVI,42920.31
"ARQUEOLITIC, SL",35586.99
GESTIO DEL CANVI SCP,29601
FEMAREC SCCL,22908.02
"AYXELA FERNANDEZ, SEBASTIAN",21259.7
"UNIPOST, S.A.",18112.87
CULTURA ROCK PRODUCCIONES SL,32670
ASSOCIACIO DE GASTRONOMIA I TURISME DEL PRAT I BAIX LLOBREGA,30427.49
INOUT BUILTFORFUN SL,34998.79
"SEGURIDAD PROFESIONAL MEDITERRANEA, SA",53983.94
"CENTRO CANINO SIR CAN,SL",34799.94
"HISPART, SA",20377.73
"KONE ELEVADORES, SA",26517.6
"ZENON DIGITAL RADIO, SL",40049.19
"PUBLISERVEI, SL",18645.23
"GRUPO OTO MEDIA, SL",69309.14
"SIEF 2, SL ",31455.96
"SOCIEDAD ESTATAL DE CORREOS Y TELEGRAFOS, SA",24663.41
"PAISAJE TRANSVERSAL, SL",22990
"MOGINO I BROCH, SL",45831.25
"ORTIZ DOMINGUEZ, ROSA",18186.42
"TELEVIDA SERVICIO SOCIOSANITARIOS, SL",53036.67
"GRUAS PABLO, SL",58231.3
"AUNAR GROUP 2009, SL",135680.95
SERVICIOS GENERALES MFR SL,146028.08
"SOLE SUBMINISTRAMENTS INDUSTRIALS, SL",21590.89
KLITEC GLOBAL NETWORK SA,69939.92
"INICIATIVES I PROGRAMES, SL",99076.68
"AIGUES DE BARCELONA EMPRESA METROPOLITANA GCIA,SA",269591.96
UTE CATALANA D INFRAESTRUCTURES EXCAVA MONTSERRAT,37628.12
"TRENCHSALVIC, SL",53838.72
"MC SPA SOCIEDAD DE PREVENCION, SL",31130.7
BC SISTEMAS DE COMUNICACION S.L.,20308.11
"TEMPO FACILITY SERVICES, SLU",41127.26
"SUMINISTROS ELECTRICOS ABC, SL",50560.9
"GAS NATURAL SERVICIOS SDG, SA",177745.3
"GENERALI ESPAÑA, SA DE SEGUROS Y REASEGUROS",54975.51
FUNDACIO ESPECIAL PINNAE,19442.23
"T SYSTEMS ITC IBERIA, S.A.U",24169.62
"MAPFRE ESPAÑA, COMPAÑIA DE SEGUROS Y REASEGUROS,SA",93887.86
"TECSIDEL,TECNOLOGIAS DE LA INFORMACION",27666.95
CONSTRUCCIONES FERTRES SL,144716.46
"SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA",52304.97
"SALTER SPORT, SA",22273.62
PRINTMAKERS ARTES GRAFICAS AUXILIARES DEL LIBRO SL,60788.21
"EXPERTUS MULTISERVICIOS, S.A. ",283076.62
PENNY WISE SL,31001.74
"SERVEIS INTEGRALS ICON7 BCN, SL",81547.95
"AQUALOGY SOLUTIONS, SA",24674.42
"CLECE, SA",356344.98
"PRODUCCIONES MIC, SL",33494.42
ETIC HABITAT SCCL,53568.62
ESPORT3,20910.68
FUNDACIO SALUT I COMUNITAT,62237.51
"SOLRED, SA",29746.18
QUER SYSTEM INFORMATICA S.L.,63412.7
IMPALA NETWORK SOLUTIONS,80566.8
ESQUEMES INFORMATICS SL  CEINA,48833.89
"VOLSEURE L AUXILIAR DE L ESPECTACLE, SL",45984
"GRUPO DISBER SIGLO XXI, SL",20098.3
"SEAE SERVEIS D'ENSENYAMENT I ASSESSORAMENT ESPORTIU, SA",370465.1
SERVEIS D'EDUCACIO NO FORMAL SL,23368.92
"SANS ALVAREZ, JOSEFINA",29040
ENDESA ENERGIA SAU,1041012.26
"DIVERSPORT, SL",33436.06
UTE DLV TELEFONICA de E TELEFONICA MOVILES E SAU,24221.78
"BRUGUES ASISTENCIAL, SA",21000
"MECATUBS, SL",28881.49
